mesh_code,ward_code,ward_ja,lat,lon,night_pop,day_pop,day_resident,inflow_work,inflow_school
5339357433,13112,世田谷区,35.64895833333333,139.67656250000002,1231,1499,326,785,388
5339357434,13112,世田谷区,35.64895833333333,139.67968750000003,1470,1540,363,787,390
5339357441,13112,世田谷区,35.646875,139.6828125,1797,1429,571,463,395
5339357442,13110,目黒区,35.646875,139.68593750000002,706,1131,273,464,394
5339357443,13112,世田谷区,35.64895833333333,139.6828125,1225,1146,287,464,395
5339357444,13110,目黒区,35.64895833333333,139.68593750000002,1499,1235,378,463,394
5339357511,13110,目黒区,35.64270833333333,139.6890625,1087,668,278,273,117
5339357512,13110,目黒区,35.64270833333333,139.69218750000002,1450,821,432,272,117
5339357513,13110,目黒区,35.64479166666666,139.6890625,1212,711,323,272,116
5339357514,13110,目黒区,35.64479166666666,139.69218750000002,1214,779,389,273,117
5339357521,13110,目黒区,35.64270833333333,139.6953125,955,2482,257,2225,0
5339357522,13110,目黒区,35.64270833333333,139.6984375,1050,2506,282,2224,0
5339357523,13110,目黒区,35.64479166666666,139.6953125,1178,2593,369,2224,0
5339357524,13110,目黒区,35.64479166666666,139.6984375,531,2370,145,2225,0
5339357531,13110,目黒区,35.646875,139.6890625,2274,1988,553,1324,111
5339357532,13110,目黒区,35.646875,139.69218750000002,1084,1732,300,1323,109
5339357533,13110,目黒区,35.64895833333333,139.6890625,1872,1996,563,1324,109
5339357534,13110,目黒区,35.64895833333333,139.69218750000002,1274,1840,406,1323,111
5339357541,13110,目黒区,35.646875,139.6953125,1300,3641,356,1633,1652
5339357542,13110,目黒区,35.646875,139.6984375,601,3470,183,1634,1653
5339357543,13110,目黒区,35.64895833333333,139.6953125,839,3510,226,1633,1651
5339357544,13110,目黒区,35.64895833333333,139.6984375,316,3391,106,1633,1652
5339357611,13110,目黒区,35.64270833333333,139.7015625,866,1835,239,1418,178
5339357612,13110,目黒区,35.64270833333333,139.7046875,697,1744,149,1418,177
5339357613,13110,目黒区,35.64479166666666,139.7015625,1205,1950,358,1416,176
5339357614,13113,渋谷区,35.64479166666666,139.7046875,1444,2056,460,1418,178
5339357621,13113,渋谷区,35.64270833333333,139.7078125,531,2704,153,2491,60
5339357622,13113,渋谷区,35.64270833333333,139.7109375,1013,2822,271,2491,60
5339357623,13113,渋谷区,35.64479166666666,139.7078125,746,2739,189,2491,59
5339357624,13113,渋谷区,35.64479166666666,139.7109375,638,2728,176,2491,61
5339357631,13110,目黒区,35.646875,139.7015625,605,2204,155,1978,71
5339357632,13113,渋谷区,35.646875,139.7046875,849,2295,248,1976,71
5339357633,13113,渋谷区,35.64895833333333,139.7015625,418,2197,149,1977,71
5339357634,13113,渋谷区,35.64895833333333,139.7046875,1305,2466,419,1976,71
5339357641,13113,渋谷区,35.646875,139.7078125,490,6391,111,6280,0
5339357642,13113,渋谷区,35.646875,139.7109375,300,6363,84,6279,0
5339357643,13113,渋谷区,35.64895833333333,139.7078125,746,6509,229,6280,0
5339357644,13113,渋谷区,35.64895833333333,139.7109375,874,6503,224,6279,0
5339357711,13113,渋谷区,35.64270833333333,139.7140625,241,4700,82,4442,176
5339357712,13113,渋谷区,35.64270833333333,139.71718750000002,1080,4910,293,4441,176
5339357713,13113,渋谷区,35.64479166666666,139.7140625,896,4872,256,4441,175
5339357714,13113,渋谷区,35.64479166666666,139.71718750000002,1281,4940,323,4441,176
5339357721,13103,港区,35.64270833333333,139.7203125,1164,895,399,496,0
5339357722,13103,港区,35.64270833333333,139.72343750000002,1848,1184,688,496,0
5339357723,13113,渋谷区,35.64479166666666,139.7203125,1482,946,452,494,0
5339357724,13103,港区,35.64479166666666,139.72343750000002,1445,916,420,496,0
5339357731,13113,渋谷区,35.646875,139.7140625,1090,4571,278,4167,126
5339357732,13113,渋谷区,35.646875,139.71718750000002,2100,4861,567,4167,127
5339357733,13113,渋谷区,35.64895833333333,139.7140625,1254,4636,343,4167,126
5339357734,13113,渋谷区,35.64895833333333,139.71718750000002,1114,4560,268,4166,126
5339357741,13113,渋谷区,35.646875,139.7203125,1270,1929,330,1112,487
5339357742,13103,港区,35.646875,139.72343750000002,366,1697,100,1111,486
5339357743,13113,渋谷区,35.64895833333333,139.7203125,816,1803,208,1110,485
5339357744,13103,港区,35.64895833333333,139.72343750000002,1619,2335,736,1112,487
5339357811,13103,港区,35.64270833333333,139.7265625,176,2391,52,638,1701
5339357812,13103,港区,35.64270833333333,139.7296875,842,2598,259,637,1702
5339357813,13103,港区,35.64479166666666,139.7265625,950,2582,244,637,1701
5339357814,13103,港区,35.64479166666666,139.7296875,1613,2782,442,638,1702
5339357821,13103,港区,35.64270833333333,139.7328125,802,2414,248,2074,92
5339357822,13103,港区,35.64270833333333,139.7359375,1045,2476,310,2073,93
5339357823,13103,港区,35.64479166666666,139.7328125,2354,2905,740,2073,92
5339357824,13103,港区,35.64479166666666,139.7359375,1603,2584,419,2073,92
5339357831,13103,港区,35.646875,139.7265625,667,1011,207,673,131
5339357832,13103,港区,35.646875,139.7296875,1459,1149,346,674,129
5339357833,13103,港区,35.64895833333333,139.7265625,397,993,191,673,129
5339357834,13103,港区,35.64895833333333,139.7296875,888,1074,271,673,130
5339357841,13103,港区,35.646875,139.7328125,833,977,189,648,140
5339357842,13103,港区,35.646875,139.7359375,1191,1137,350,647,140
