mesh_code,ward_ja,lat,lon,pop_total,hh_general,hh_single,hh_single_20s,hh_elderly_single,hh_with_under6,hh_in_housing,hh_owned,hh_private_rent,hh_public_rent,hh_detached,hh_apartment,hh_apt_15plus_bldg
5339561841,葛飾区,35.76354166666667,139.8578125,664,304,107.0,11.0,31.0,15.0,303.0,227.0,71.0,0.0,231.0,69.0,0.0
5339561842,葛飾区,35.76354166666667,139.8609375,1243,554,224.0,48.0,85.0,98.0,553.0,274.0,163.0,113.0,120.0,422.0,0.0
5339561843,足立区,35.765625,139.8578125,581,281,111.0,13.0,37.0,13.0,280.0,177.0,92.0,0.0,149.0,131.0,0.0
5339561844,葛飾区,35.765625,139.8609375,733,358,134.0,9.0,69.0,30.0,357.0,223.0,86.0,42.0,122.0,233.0,0.0
5339561911,葛飾区,35.759375,139.86406250000002,522,219,98.0,20.0,30.0,19.0,217.0,132.0,83.0,0.0,132.0,70.0,0.0
5339561912,葛飾区,35.759375,139.86718750000003,1180,483,141.0,30.0,45.0,47.0,483.0,295.0,175.0,0.0,136.0,327.0,0.0
5339561913,葛飾区,35.76145833333333,139.86406250000002,970,475,181.0,14.0,96.0,20.0,474.0,401.0,71.0,0.0,41.0,431.0,0.0
5339561914,葛飾区,35.76145833333333,139.86718750000003,969,445,195.0,50.0,52.0,26.0,436.0,212.0,129.0,69.0,106.0,329.0,0.0
5339561921,葛飾区,35.759375,139.8703125,1497,618,179.0,21.0,71.0,54.0,618.0,411.0,187.0,0.0,173.0,434.0,0.0
5339561922,葛飾区,35.759375,139.87343750000002,1040,477,176.0,20.0,70.0,28.0,476.0,225.0,168.0,69.0,189.0,278.0,0.0
5339561923,葛飾区,35.76145833333333,139.8703125,1350,542,156.0,38.0,57.0,49.0,540.0,341.0,189.0,0.0,199.0,336.0,0.0
5339561924,葛飾区,35.76145833333333,139.87343750000002,770,363,137.0,33.0,47.0,51.0,362.0,167.0,120.0,71.0,64.0,297.0,0.0
5339561931,葛飾区,35.76354166666667,139.86406250000002,678,322,129.0,22.0,52.0,30.0,305.0,135.0,73.0,81.0,98.0,206.0,31.0
5339561932,葛飾区,35.76354166666667,139.86718750000003,996,505,229.0,38.0,86.0,25.0,503.0,294.0,160.0,41.0,105.0,397.0,12.0
5339561933,葛飾区,35.765625,139.86406250000002,984,520,278.0,99.0,63.0,40.0,435.0,185.0,116.0,98.0,143.0,287.0,0.0
5339561934,葛飾区,35.765625,139.86718750000003,1343,761,450.0,173.0,74.0,44.0,759.0,208.0,385.0,129.0,158.0,598.0,0.0
5339561941,葛飾区,35.76354166666667,139.8703125,1104,578,297.0,59.0,78.0,37.0,577.0,325.0,249.0,0.0,83.0,492.0,0.0
5339561942,葛飾区,35.76354166666667,139.87343750000002,545,256,110.0,33.0,17.0,26.0,256.0,119.0,134.0,0.0,86.0,165.0,0.0
5339561943,葛飾区,35.765625,139.8703125,1063,610,361.0,55.0,124.0,21.0,608.0,282.0,313.0,0.0,212.0,391.0,0.0
5339561944,葛飾区,35.765625,139.87343750000002,1014,548,287.0,58.0,80.0,22.0,547.0,264.0,275.0,0.0,235.0,310.0,0.0
5339562011,足立区,35.76770833333333,139.7515625,1334,435,60.0,4.0,16.0,68.0,435.0,388.0,4.0,32.0,0.0,435.0,398.0
5339562012,北区,35.76770833333333,139.75468750000002,428,256,139.0,14.0,75.0,12.0,256.0,0.0,1.0,246.0,0.0,256.0,0.0
5339562013,足立区,35.76979166666666,139.7515625,979,341,62.0,5.0,6.0,67.0,341.0,244.0,88.0,0.0,0.0,341.0,250.0
5339562022,足立区,35.76770833333333,139.7609375,24,11,4.0,0.0,1.0,0.0,11.0,11.0,0.0,0.0,11.0,0.0,0.0
5339562024,足立区,35.76979166666666,139.7609375,238,116,58.0,4.0,25.0,5.0,115.0,60.0,52.0,0.0,65.0,48.0,0.0
5339562034,足立区,35.77395833333333,139.75468750000002,34,14,4.0,0.0,2.0,0.0,14.0,9.0,4.0,0.0,9.0,3.0,0.0
5339562041,足立区,35.771875,139.7578125,144,61,19.0,0.0,7.0,4.0,61.0,31.0,30.0,0.0,32.0,29.0,0.0
5339562042,足立区,35.771875,139.7609375,648,329,153.0,21.0,40.0,13.0,319.0,206.0,101.0,0.0,212.0,105.0,0.0
5339562043,足立区,35.77395833333333,139.7578125,257,134,64.0,22.0,17.0,13.0,117.0,53.0,48.0,0.0,61.0,56.0,0.0
5339562044,足立区,35.77395833333333,139.7609375,692,328,143.0,27.0,47.0,20.0,322.0,156.0,115.0,39.0,162.0,158.0,0.0
