mesh_code,est_all,emp_all,est_manufacturing,emp_manufacturing,est_ict,emp_ict,est_wholesale_retail,emp_wholesale_retail,est_finance,emp_finance,est_real_estate,emp_real_estate,est_professional,emp_professional,est_accommodation_food,emp_accommodation_food,est_medical_welfare,emp_medical_welfare,lat,lon,ward_code,ward_ja
533955111,112,674,12,49,3,15,21,120,0,0,6,15,6,12,6,23,10,93,35.760416666666664,139.640625,13120,練馬区
533955112,149,792,10,28,2,7,30,141,0,0,12,29,8,25,15,52,13,71,35.760416666666664,139.646875,13120,練馬区
533955113,86,498,4,26,1,2,19,128,0,0,11,29,2,4,2,13,9,122,35.764583333333334,139.640625,13120,練馬区
533955114,133,743,4,6,3,5,29,103,1,27,13,25,2,6,10,16,15,147,35.764583333333334,139.646875,13120,練馬区
533955121,98,1384,5,33,1,2,19,581,0,0,5,134,1,6,9,98,16,201,35.760416666666664,139.65312500000002,13120,練馬区
533955122,80,581,6,27,2,22,22,104,0,0,7,28,3,15,6,53,9,160,35.760416666666664,139.659375,13120,練馬区
533955123,99,625,12,101,0,0,16,90,0,0,15,36,4,8,4,7,9,179,35.764583333333334,139.65312500000002,13120,練馬区
533955124,31,2698,1,54,0,0,8,69,0,0,0,0,5,25,3,14,4,33,35.764583333333334,139.659375,13120,練馬区
533955131,101,696,11,46,0,0,25,100,0,0,9,77,2,2,3,7,9,169,35.760416666666664,139.665625,13120,練馬区
533955132,178,1320,6,17,3,6,40,325,2,72,21,50,7,19,22,137,31,393,35.760416666666664,139.671875,13119,板橋区
533955133,118,1357,5,31,2,10,27,386,1,1,15,37,3,11,9,46,21,329,35.764583333333334,139.665625,13120,練馬区
533955134,214,1647,21,219,2,2,48,512,3,8,22,61,11,40,26,79,23,233,35.764583333333334,139.671875,13119,板橋区
533955141,208,2006,8,33,4,6,50,448,4,45,24,65,12,38,17,154,32,845,35.760416666666664,139.67812500000002,13119,板橋区
533955142,181,1067,9,41,2,2,22,112,2,14,24,77,14,31,18,43,31,271,35.760416666666664,139.68437500000002,13119,板橋区
533955143,426,3226,16,79,4,5,102,693,6,57,34,105,11,16,82,431,60,1336,35.764583333333334,139.67812500000002,13119,板橋区
533955144,168,2307,27,491,1,2,37,328,2,28,13,24,8,23,14,152,22,551,35.764583333333334,139.68437500000002,13119,板橋区
533955151,260,2154,3,4,1,2,34,302,5,92,42,153,14,90,46,507,49,467,35.760416666666664,139.690625,13119,板橋区
533955152,113,855,8,30,2,2,31,270,1,8,9,24,10,95,6,20,8,147,35.760416666666664,139.696875,13119,板橋区
533955153,216,1669,49,697,6,10,40,227,1,13,20,43,12,30,19,44,25,382,35.764583333333334,139.690625,13119,板橋区
533955154,159,1886,53,463,4,8,26,792,1,0,7,14,8,47,8,81,12,300,35.764583333333334,139.696875,13119,板橋区
533955161,163,2425,15,98,8,246,30,295,9,81,11,54,5,50,12,84,19,1158,35.760416666666664,139.703125,13119,板橋区
533955162,177,1452,11,377,3,4,37,210,3,78,14,39,10,27,21,84,21,207,35.760416666666664,139.709375,13119,板橋区
533955163,183,1757,29,435,1,104,43,265,1,2,19,50,5,19,21,85,17,474,35.764583333333334,139.703125,13119,板橋区
533955164,106,962,25,131,3,3,21,155,2,6,6,13,5,13,21,348,7,77,35.764583333333334,139.709375,13119,板橋区
533955171,152,5444,4,30,1,2,41,354,2,10,12,29,6,40,21,206,17,2152,35.760416666666664,139.71562500000002,13119,板橋区
533955172,382,2204,13,71,2,3,107,744,4,24,46,105,14,38,86,562,42,310,35.760416666666664,139.721875,13117,北区
533955173,115,662,11,106,2,3,22,124,0,0,10,25,5,6,6,25,22,224,35.764583333333334,139.71562500000002,13117,北区
533955174,236,1006,11,46,2,13,58,391,4,23,28,57,12,23,24,86,34,140,35.764583333333334,139.721875,13117,北区
533955181,137,628,11,51,0,0,21,73,0,0,26,53,6,18,15,36,12,108,35.760416666666664,139.728125,13117,北区
533955182,161,1336,15,98,2,3,35,253,1,7,32,79,10,20,7,131,15,194,35.760416666666664,139.734375,13117,北区
533955183,342,4455,15,69,6,17,75,560,4,31,25,70,15,97,87,424,38,2673,35.764583333333334,139.728125,13117,北区
533955184,144,2209,6,324,2,5,35,636,1,2,14,36,8,71,11,159,25,364,35.764583333333334,139.734375,13117,北区
533955191,144,2533,6,86,1,5,40,405,1,25,12,16,13,46,13,59,16,389,35.760416666666664,139.74062500000002,13117,北区
533955192,156,992,12,62,3,13,36,215,1,21,24,55,4,5,14,33,19,390,35.760416666666664,139.74687500000002,13117,北区
533955193,151,1741,11,94,3,5,36,433,2,9,19,57,5,160,13,56,13,173,35.764583333333334,139.74062500000002,13117,北区
533955194,134,1530,11,208,2,6,34,290,0,0,6,17,4,89,21,84,10,125,35.764583333333334,139.74687500000002,13117,北区
533955201,7,27,3,13,1,1,0,0,0,0,1,2,0,0,0,0,0,0,35.76875,139.628125,13120,練馬区
533955202,22,326,0,0,2,3,5,122,0,0,2,4,3,9,1,7,5,105,35.76875,139.634375,13120,練馬区
533955203,96,543,5,24,3,4,13,47,1,8,13,31,5,14,8,41,14,159,35.77291666666667,139.628125,13120,練馬区
533955204,131,1131,8,105,5,15,29,314,1,2,11,45,6,11,13,52,16,242,35.77291666666667,139.634375,13119,板橋区
533955211,87,725,1,1,4,5,17,140,0,0,10,27,7,13,8,55,19,372,35.76875,139.640625,13120,練馬区
533955212,244,1780,4,19,2,2,52,531,3,75,30,89,7,54,39,276,34,364,35.76875,139.646875,13120,練馬区
533955213,109,1148,9,90,3,3,20,175,2,41,11,35,5,59,11,63,9,175,35.77291666666667,139.640625,13119,板橋区
533955214,177,1013,2,4,2,4,51,372,1,3,8,18,2,3,31,159,29,212,35.77291666666667,139.646875,13119,板橋区
533955221,148,1157,22,207,3,6,29,171,0,0,11,21,5,12,9,32,15,352,35.76875,139.65312500000002,13120,練馬区
533955222,418,4251,8,37,4,9,87,1650,5,49,35,103,8,49,99,784,49,450,35.76875,139.659375,13120,練馬区
533955223,67,660,4,85,2,10,12,159,0,0,8,21,6,17,3,7,4,152,35.77291666666667,139.65312500000002,13119,板橋区
533955224,94,1026,10,24,4,25,12,76,0,0,13,36,5,9,5,33,10,412,35.77291666666667,139.659375,13119,板橋区
533955231,227,1556,27,198,1,9,41,202,2,15,19,42,9,44,45,117,21,182,35.76875,139.665625,13119,板橋区
533955232,100,1072,29,290,3,54,9,48,0,0,6,18,6,18,7,12,14,389,35.76875,139.671875,13119,板橋区
533955233,127,978,14,53,0,0,17,129,2,16,4,19,8,33,4,15,16,331,35.77291666666667,139.665625,13119,板橋区
533955234,78,712,15,75,0,0,10,96,2,3,4,10,4,6,2,23,9,368,35.77291666666667,139.671875,13119,板橋区
533955241,106,570,15,37,3,4,11,39,0,0,9,24,3,13,11,69,12,161,35.76875,139.67812500000002,13119,板橋区
533955242,80,963,14,59,0,0,14,52,0,0,8,17,3,4,6,32,7,170,35.76875,139.68437500000002,13119,板橋区
533955243,80,672,3,8,4,6,9,45,1,6,9,16,13,34,2,16,9,159,35.77291666666667,139.67812500000002,13119,板橋区
533955244,75,786,10,27,3,15,12,50,0,0,3,4,4,17,3,19,11,317,35.77291666666667,139.68437500000002,13119,板橋区
533955251,185,1936,29,327,0,0,48,426,1,1,14,37,4,17,18,153,18,572,35.76875,139.690625,13119,板橋区
533955252,90,835,27,269,5,7,11,275,0,0,5,5,7,14,9,54,3,36,35.76875,139.696875,13119,板橋区
533955253,118,1315,15,147,2,5,30,556,1,4,8,23,4,17,12,126,9,178,35.77291666666667,139.690625,13119,板橋区
533955254,170,3307,32,1397,1,46,32,336,3,71,15,41,7,17,19,125,19,428,35.77291666666667,139.696875,13119,板橋区
533955261,206,2289,29,267,1,2,43,625,1,27,27,62,3,10,34,234,25,841,35.76875,139.703125,13119,板橋区
