mesh_code,ward_code,ward_ja,lat,lon,est_total,emp_total,est_retail,emp_retail,est_restaurant,emp_restaurant
533935191,13109,品川区,35.59375,139.74062500000002,36,605,2,24,6,16
533935192,13109,品川区,35.59375,139.74687500000002,38,308,0,0,2,2
533935193,13109,品川区,35.59791666666667,139.74062500000002,177,1181,27,171,29,128
533935194,13109,品川区,35.59791666666667,139.74687500000002,87,2469,10,250,5,77
533935204,13112,世田谷区,35.60625,139.634375,28,179,3,6,2,34
533935211,13112,世田谷区,35.60208333333333,139.640625,34,519,2,6,0,0
533935212,13112,世田谷区,35.60208333333333,139.646875,46,316,3,21,2,14
533935213,13112,世田谷区,35.60625,139.640625,37,166,7,50,3,8
533935214,13112,世田谷区,35.60625,139.646875,118,1055,18,150,10,94
533935221,13112,世田谷区,35.60208333333333,139.65312500000002,81,618,24,340,2,4
533935222,13112,世田谷区,35.60208333333333,139.659375,116,796,35,156,13,74
533935223,13112,世田谷区,35.60625,139.65312500000002,297,2319,55,500,41,251
533935224,13112,世田谷区,35.60625,139.659375,125,643,22,116,7,35
533935231,13112,世田谷区,35.60208333333333,139.665625,119,1002,21,273,2,7
533935232,13112,世田谷区,35.60208333333333,139.671875,240,1395,48,288,23,91
533935233,13112,世田谷区,35.60625,139.665625,574,5319,109,952,91,860
533935234,13112,世田谷区,35.60625,139.671875,553,4800,168,1433,101,910
533935241,13112,世田谷区,35.60208333333333,139.67812500000002,72,414,9,20,2,3
533935242,13111,大田区,35.60208333333333,139.68437500000002,65,252,7,16,3,5
533935243,13112,世田谷区,35.60625,139.67812500000002,113,553,21,122,13,60
533935244,13110,目黒区,35.60625,139.68437500000002,199,4750,31,444,45,353
533935251,13111,大田区,35.60208333333333,139.690625,56,432,3,13,4,35
533935252,13111,大田区,35.60208333333333,139.696875,306,1968,65,477,37,222
533935253,13111,大田区,35.60625,139.690625,89,651,11,94,6,15
533935254,13109,品川区,35.60625,139.696875,133,1109,10,28,3,31
533935261,13109,品川区,35.60208333333333,139.703125,190,1227,34,201,8,27
533935262,13109,品川区,35.60208333333333,139.709375,326,2178,60,464,43,228
533935263,13109,品川区,35.60625,139.703125,329,2455,50,376,68,370
533935264,13109,品川区,35.60625,139.709375,223,1370,41,268,19,96
533935271,13109,品川区,35.60208333333333,139.71562500000002,246,1634,26,217,16,41
533935272,13109,品川区,35.60208333333333,139.721875,275,1733,32,219,29,217
533935273,13109,品川区,35.60625,139.71562500000002,307,1782,52,440,36,184
533935274,13109,品川区,35.60625,139.721875,215,1212,17,59,14,26
533935281,13109,品川区,35.60208333333333,139.728125,179,1677,13,112,6,12
533935282,13109,品川区,35.60208333333333,139.734375,251,2988,35,176,25,88
533935283,13109,品川区,35.60625,139.728125,344,4884,32,260,50,193
533935284,13109,品川区,35.60625,139.734375,1009,14360,180,2352,290,2295
533935291,13109,品川区,35.60208333333333,139.74062500000002,181,2713,12,120,9,107
533935292,13109,品川区,35.60208333333333,139.74687500000002,37,10029,5,45,2,3
533935293,13109,品川区,35.60625,139.74062500000002,255,2275,28,270,34,304
533935294,13109,品川区,35.60625,139.74687500000002,146,4589,13,223,5,16
533935301,13112,世田谷区,35.610416666666666,139.628125,339,15821,149,1485,35,660
533935302,13112,世田谷区,35.610416666666666,139.634375,68,945,5,28,3,9
533935303,13112,世田谷区,35.614583333333336,139.628125,714,7137,294,2768,115,1665
533935304,13112,世田谷区,35.614583333333336,139.634375,74,704,10,108,2,8
533935311,13112,世田谷区,35.610416666666666,139.640625,123,886,19,103,10,58
533935312,13112,世田谷区,35.610416666666666,139.646875,166,1540,27,237,16,112
533935313,13112,世田谷区,35.614583333333336,139.640625,145,938,30,236,16,138
533935314,13112,世田谷区,35.614583333333336,139.646875,84,1402,11,45,5,65
533935321,13112,世田谷区,35.610416666666666,139.65312500000002,125,934,13,76,7,44
533935322,13112,世田谷区,35.610416666666666,139.659375,57,420,8,116,0,0
533935323,13112,世田谷区,35.614583333333336,139.65312500000002,79,676,13,99,3,29
533935324,13112,世田谷区,35.614583333333336,139.659375,106,1834,14,197,7,20
533935331,13110,目黒区,35.610416666666666,139.665625,353,2577,110,629,34,396
533935332,13110,目黒区,35.610416666666666,139.671875,488,2953,144,653,95,517
533935333,13110,目黒区,35.614583333333336,139.665625,151,1918,21,699,5,61
533935334,13110,目黒区,35.614583333333336,139.671875,137,795,17,86,4,95
533935341,13110,目黒区,35.610416666666666,139.67812500000002,110,720,7,40,3,11
533935342,13110,目黒区,35.610416666666666,139.68437500000002,271,1472,64,499,32,158
533935343,13110,目黒区,35.614583333333336,139.67812500000002,178,1406,25,154,14,77
533935344,13110,目黒区,35.614583333333336,139.68437500000002,119,774,16,73,3,17
533935351,13111,大田区,35.610416666666666,139.690625,106,1554,13,131,2,5
533935352,13109,品川区,35.610416666666666,139.696875,152,2177,25,270,13,62
533935353,13110,目黒区,35.614583333333336,139.690625,101,657,7,39,4,11
533935354,13110,目黒区,35.614583333333336,139.696875,417,1991,70,565,74,328
533935361,13109,品川区,35.610416666666666,139.703125,163,6047,27,155,12,101
533935362,13109,品川区,35.610416666666666,139.709375,352,1805,60,375,54,176
533935363,13109,品川区,35.614583333333336,139.703125,237,1525,18,202,13,44
533935364,13109,品川区,35.614583333333336,139.709375,289,2607,39,238,17,122
533935371,13109,品川区,35.610416666666666,139.71562500000002,376,3064,45,386,28,209
533935372,13109,品川区,35.610416666666666,139.721875,138,682,15,123,5,8
533935373,13109,品川区,35.614583333333336,139.71562500000002,431,2905,69,518,59,482
533935374,13109,品川区,35.614583333333336,139.721875,276,1143,53,232,28,76
533935381,13109,品川区,35.610416666666666,139.728125,146,2749,9,83,12,38
533935382,13109,品川区,35.610416666666666,139.734375,73,1673,8,88,10,23
533935383,13109,品川区,35.614583333333336,139.728125,206,9752,13,69,17,54
533935384,13109,品川区,35.614583333333336,139.734375,77,2723,4,7,2,28
533935391,13109,品川区,35.610416666666666,139.74062500000002,318,3786,28,182,37,264
533935392,13109,品川区,35.610416666666666,139.74687500000002,356,22617,51,1104,56,503
533935393,13109,品川区,35.614583333333336,139.74062500000002,233,2564,16,59,13,34
533935394,13109,品川区,35.614583333333336,139.74687500000002,211,3637,28,267,11,42
533935401,13112,世田谷区,35.61875,139.628125,132,882,20,134,9,83
533935402,13112,世田谷区,35.61875,139.634375,100,1030,18,168,3,15
